city,position,salary_raw,skills,experience_raw,education_raw,job_type,headcount,company_address,updated_date,salary_avg,salary_outlier_flag,education_clean,experience_years,company_id
北京,人工智能研发专员,1.8-2.5万,"['机器视觉', '搜索/推荐算法', 'PyTorch', 'TensorFlow']",3-5年,本科,全职,1,北京·怀柔·北房,2024/6/3,21500.0,False,本科,4.0,26515
北京,人工智能营销（AI营销）,1.2-2.4万·13薪,"['网络营销', '新媒体营销', '短视频营销', '自媒体营销', '微信营销', '社群营销', '社区营销', '海外营销']",无经验,本科,全职,1,北京·通州·台湖,2025/3/21,18000.0,False,本科,0.0,26516
北京,ai算法工程师,2.5-3万·14薪,['大模型算法'],3-5年,本科,全职,1,北京·海淀·马连洼,2025/2/25,27500.0,False,本科,4.0,26517
北京,解决方案工程师助理,8000-13000元,"['智慧产品', '智慧水利', '智慧农业', '智慧城市']",经验不限,本科,全职,2,北京·海淀·清河,2025/2/14,10500.0,False,本科,,26518
北京,人工智能算法工程师,2.9-4万,"['机器视觉', '智能驾驶', '自然语言处理', '算法研究', '算法应用', '多模态算法', '大模型算法', '机器学习', 'Python', 'Java', 'PyTorch', 'TensorFlow', 'K-means算法', 'GBDT', 'XGBoost', 'BERT', 'GPT', '', '', '', '']",经验不限,博士,全职,1,北京·海淀,2025/3/13,34500.0,False,博士,,26519
北京,人工智能业务专家（北京）,2-3万,"['人工智能大模型', '图像识别', '适应出差']",3-5年,本科,全职,1,北京·丰台·右安门,2025/3/27,25000.0,False,本科,4.0,26520
北京,人工智能教育产品经理,1.5-3万,,3-5年,本科,全职,1,北京·朝阳·建外,2025/3/27,22500.0,False,本科,4.0,26521
北京,产品经理（人工智能）,2-3万,"['智能驾驶', '智能芯片', '导航', '交通', '搜索', 'AIGC']",3-5年,本科,全职,1,北京·东城·和平里,2024/9/13,25000.0,False,本科,4.0,26522
北京,人工智能算法工程师,2-2.5万,,1-3年,本科,全职,2,北京·海淀·马连洼,2025/2/19,22500.0,False,本科,2.0,26497
北京,人工智能通识教育 产品经理,1.5-2万,['通识教育'],5-10年,本科,全职,1,北京·海淀·北太平庄,2025/3/11,17500.0,False,本科,7.5,26523
北京,深度学习/机器学习工程师,9000-14000元,"['图像算法', '语音算法', '机器学习', 'Python', '分布式训练']",经验不限,本科,全职,1,北京·海淀·上地,2024/12/18,11500.0,False,本科,,26524
北京,人工智能解决方案（职业教育，大模型，智能体）,2-3万,['数字化产品'],10年以上,本科,全职,1,北京·通州·台湖,2025/3/28,25000.0,False,本科,,26525
北京,AI研发工程师,2-3万·16薪,"['AI工程师', 'AI AGENT开发', '提示工程']",1-3年,本科,全职,1,北京·朝阳·建外,2024/10/18,25000.0,False,本科,2.0,26526
北京,大语言模型应用开发工程师,2-4万·13薪,"['PyTorch', 'LANGCHAIN', 'LLAMAINDEX', 'AGENT', 'RAG']",经验不限,本科,全职,1,北京·西城·金融街,2025/3/31,30000.0,False,本科,,26527
北京,人工智能赋能专项项目经理,1.5-3万,"['PMP', '项目管理', '科研项目管理']",10年以上,硕士,全职,1,北京·海淀·清华园,2025/3/3,22500.0,False,硕士,,26528
北京,销售助理,7000-9000元,"['企业客户拓展', '政府资源拓展', '客户资源管理']",1-3年,学历不限,全职,1,北京·海淀·海淀街道,2025/3/31,8000.0,False,学历不限,2.0,26512
